end_position	rate(cM/Mb)
9999	1e-08
10001	0.5
20001	1e-08
20003	0.5
22003	1e-08
22054	0.5
24004	1e-08
24055	0.5
26005	1e-08
26056	0.5
28006	1e-08
28057	0.5
30007	1e-08
