cycle,sex_ratio
4171,0.5
4181,0.458333
4191,0.538462
4201,0.523364
4211,0.474227
4221,0.534653
4231,0.558559
4241,0.554455
4251,0.467391
4261,0.5
4271,0.514563
4281,0.471154
4291,0.43299
4301,0.495327
4311,0.539216
4321,0.55914
4331,0.505155
4341,0.545455
4351,0.551402
4361,0.510417
4371,0.456311
4381,0.445455
4391,0.47
4401,0.578947
4411,0.471264
4421,0.49
4431,0.490566
4441,0.551402
4451,0.546392
4461,0.576923
4471,0.514286
4481,0.52
4491,0.480769
4501,0.56
4511,0.574468
4521,0.452632
4531,0.50495
4541,0.532609
4551,0.509615
4561,0.519231
4571,0.484848
4581,0.53
4591,0.520408
4601,0.611111
4611,0.551724
4621,0.513514
4631,0.453608
4641,0.533981
4651,0.489796
4661,0.479167
4671,0.585859
4681,0.518868
4691,0.410714
4701,0.556604
4711,0.538462
4721,0.587156
4731,0.404494
4741,0.419355
4751,0.547368
4761,0.5
4771,0.49
4781,0.431373
4791,0.431579
4801,0.523364
4811,0.602151
4821,0.469388
4831,0.407767
4841,0.45
4851,0.544554
4861,0.473118
4871,0.494845
4881,0.510417
4891,0.545455
4901,0.460784
4911,0.533981
4921,0.546392
4931,0.555556
4941,0.510204
4951,0.52
4961,0.432692
4971,0.541667
4981,0.513514
4991,0.522523
5001,0.541667
5011,0.481132
5021,0.43
5031,0.606061
5041,0.450549
5051,0.481481
5061,0.495146
5071,0.538462
5081,0.463636
5091,0.466019
5101,0.54955
5111,0.505747
5121,0.490566
5131,0.453608
5141,0.490196
5151,0.514851
5161,0.48
5171,0.57
5181,0.471154
5191,0.490741
5201,0.57
5211,0.5
5221,0.505155
5231,0.471154
5241,0.49505
5251,0.555556
5261,0.52381
5271,0.494949
5281,0.504587
5291,0.530612
5301,0.478723
5311,0.52
5321,0.494624
5331,0.41573
5341,0.592233
5351,0.553191
5361,0.425743
5371,0.556604
5381,0.5
5391,0.525253
5401,0.519608
5411,0.486486
5421,0.438776
5431,0.446602
5441,0.554348
5451,0.490196
5461,0.525773
5471,0.471698
5481,0.509615
5491,0.472527
5501,0.438776
5511,0.516129
5521,0.45283
5531,0.537634
5541,0.51
5551,0.469388
5561,0.432692
5571,0.477778
5581,0.452632
5591,0.489583
5601,0.480769
5611,0.59
5621,0.427083
5631,0.5
5641,0.484211
5651,0.555556
